Emotions,Path
sad,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_01/03-02-04-02-01-01-01.wav
sad,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_01/03-02-04-02-01-02-01.wav
sad,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_01/03-02-04-02-02-01-01.wav
sad,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_01/03-02-04-02-02-02-01.wav
angry,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_01/03-02-05-01-01-01-01.wav
angry,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_01/03-02-05-01-01-02-01.wav
angry,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_01/03-02-05-01-02-01-01.wav
angry,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_01/03-02-05-01-02-02-01.wav
angry,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_01/03-02-05-02-01-01-01.wav
angry,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_01/03-02-05-02-01-02-01.wav
angry,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_01/03-02-05-02-02-01-01.wav
angry,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_01/03-02-05-02-02-02-01.wav
fear,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_01/03-02-06-01-01-01-01.wav
fear,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_01/03-02-06-01-01-02-01.wav
fear,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_01/03-02-06-01-02-01-01.wav
fear,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_01/03-02-06-01-02-02-01.wav
fear,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_01/03-02-06-02-01-01-01.wav
fear,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_01/03-02-06-02-01-02-01.wav
fear,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_01/03-02-06-02-02-01-01.wav
fear,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_01/03-02-06-02-02-02-01.wav
neutral,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_02/03-02-01-01-01-01-02.wav
neutral,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_02/03-02-01-01-01-02-02.wav
neutral,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_02/03-02-01-01-02-01-02.wav
neutral,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_02/03-02-01-01-02-02-02.wav
calm,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_02/03-02-02-01-01-01-02.wav
calm,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_02/03-02-02-01-01-02-02.wav
calm,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_02/03-02-02-01-02-01-02.wav
calm,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_02/03-02-02-01-02-02-02.wav
calm,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_02/03-02-02-02-01-01-02.wav
calm,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_02/03-02-02-02-01-02-02.wav
calm,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_02/03-02-02-02-02-01-02.wav
calm,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_02/03-02-02-02-02-02-02.wav
happy,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_02/03-02-03-01-01-01-02.wav
happy,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_02/03-02-03-01-01-02-02.wav
happy,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_02/03-02-03-01-02-01-02.wav
happy,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_02/03-02-03-01-02-02-02.wav
happy,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_02/03-02-03-02-01-01-02.wav
happy,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_02/03-02-03-02-01-02-02.wav
happy,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_02/03-02-03-02-02-01-02.wav
happy,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_02/03-02-03-02-02-02-02.wav
sad,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_02/03-02-04-01-01-01-02.wav
sad,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_02/03-02-04-01-01-02-02.wav
sad,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_02/03-02-04-01-02-01-02.wav
sad,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_02/03-02-04-01-02-02-02.wav
sad,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_02/03-02-04-02-01-01-02.wav
sad,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_02/03-02-04-02-01-02-02.wav
sad,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_02/03-02-04-02-02-01-02.wav
sad,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_02/03-02-04-02-02-02-02.wav
angry,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_02/03-02-05-01-01-01-02.wav
angry,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_02/03-02-05-01-01-02-02.wav
angry,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_02/03-02-05-01-02-01-02.wav
angry,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_02/03-02-05-01-02-02-02.wav
angry,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_02/03-02-05-02-01-01-02.wav
angry,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_02/03-02-05-02-01-02-02.wav
angry,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_02/03-02-05-02-02-01-02.wav
angry,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_02/03-02-05-02-02-02-02.wav
fear,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_02/03-02-06-01-01-01-02.wav
fear,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_02/03-02-06-01-01-02-02.wav
fear,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_02/03-02-06-01-02-01-02.wav
fear,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_02/03-02-06-01-02-02-02.wav
fear,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_02/03-02-06-02-01-01-02.wav
fear,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_02/03-02-06-02-01-02-02.wav
fear,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_02/03-02-06-02-02-01-02.wav
fear,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_02/03-02-06-02-02-02-02.wav
neutral,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_03/03-02-01-01-01-01-03.wav
neutral,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_03/03-02-01-01-01-02-03.wav
neutral,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_03/03-02-01-01-02-01-03.wav
neutral,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_03/03-02-01-01-02-02-03.wav
calm,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_03/03-02-02-01-01-01-03.wav
calm,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_03/03-02-02-01-01-02-03.wav
calm,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_03/03-02-02-01-02-01-03.wav
calm,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_03/03-02-02-01-02-02-03.wav
calm,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_03/03-02-02-02-01-01-03.wav
calm,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_03/03-02-02-02-01-02-03.wav
calm,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_03/03-02-02-02-02-01-03.wav
calm,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_03/03-02-02-02-02-02-03.wav
happy,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_03/03-02-03-01-01-01-03.wav
happy,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_03/03-02-03-01-01-02-03.wav
happy,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_03/03-02-03-01-02-01-03.wav
happy,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_03/03-02-03-01-02-02-03.wav
happy,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_03/03-02-03-02-01-01-03.wav
happy,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_03/03-02-03-02-01-02-03.wav
happy,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_03/03-02-03-02-02-01-03.wav
happy,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_03/03-02-03-02-02-02-03.wav
sad,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_03/03-02-04-01-01-01-03.wav
sad,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_03/03-02-04-01-01-02-03.wav
sad,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_03/03-02-04-01-02-01-03.wav
sad,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_03/03-02-04-01-02-02-03.wav
sad,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_03/03-02-04-02-01-01-03.wav
sad,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_03/03-02-04-02-01-02-03.wav
sad,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_03/03-02-04-02-02-01-03.wav
sad,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_03/03-02-04-02-02-02-03.wav
angry,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_03/03-02-05-01-01-01-03.wav
angry,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_03/03-02-05-01-01-02-03.wav
angry,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_03/03-02-05-01-02-01-03.wav
angry,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_03/03-02-05-01-02-02-03.wav
angry,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_03/03-02-05-02-01-01-03.wav
angry,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_03/03-02-05-02-01-02-03.wav
angry,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_03/03-02-05-02-02-01-03.wav
angry,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_03/03-02-05-02-02-02-03.wav
fear,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_03/03-02-06-01-01-01-03.wav
fear,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_03/03-02-06-01-01-02-03.wav
fear,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_03/03-02-06-01-02-01-03.wav
fear,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_03/03-02-06-01-02-02-03.wav
fear,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_03/03-02-06-02-01-01-03.wav
fear,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_03/03-02-06-02-01-02-03.wav
fear,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_03/03-02-06-02-02-01-03.wav
fear,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_03/03-02-06-02-02-02-03.wav
neutral,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_04/03-02-01-01-01-01-04.wav
neutral,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_04/03-02-01-01-01-02-04.wav
neutral,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_04/03-02-01-01-02-01-04.wav
neutral,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_04/03-02-01-01-02-02-04.wav
calm,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_04/03-02-02-01-01-01-04.wav
calm,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_04/03-02-02-01-01-02-04.wav
calm,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_04/03-02-02-01-02-01-04.wav
calm,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_04/03-02-02-01-02-02-04.wav
calm,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_04/03-02-02-02-01-01-04.wav
calm,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_04/03-02-02-02-01-02-04.wav
calm,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_04/03-02-02-02-02-01-04.wav
calm,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_04/03-02-02-02-02-02-04.wav
happy,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_04/03-02-03-01-01-01-04.wav
happy,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_04/03-02-03-01-01-02-04.wav
happy,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_04/03-02-03-01-02-01-04.wav
happy,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_04/03-02-03-01-02-02-04.wav
happy,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_04/03-02-03-02-01-01-04.wav
happy,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_04/03-02-03-02-01-02-04.wav
happy,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_04/03-02-03-02-02-01-04.wav
happy,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_04/03-02-03-02-02-02-04.wav
sad,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_04/03-02-04-01-01-01-04.wav
sad,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_04/03-02-04-01-01-02-04.wav
sad,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_04/03-02-04-01-02-01-04.wav
sad,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_04/03-02-04-01-02-02-04.wav
sad,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_04/03-02-04-02-01-01-04.wav
sad,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_04/03-02-04-02-01-02-04.wav
sad,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_04/03-02-04-02-02-01-04.wav
sad,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_04/03-02-04-02-02-02-04.wav
angry,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_04/03-02-05-01-01-01-04.wav
angry,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_04/03-02-05-01-01-02-04.wav
angry,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_04/03-02-05-01-02-01-04.wav
angry,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_04/03-02-05-01-02-02-04.wav
angry,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_04/03-02-05-02-01-01-04.wav
angry,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_04/03-02-05-02-01-02-04.wav
angry,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_04/03-02-05-02-02-01-04.wav
angry,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_04/03-02-05-02-02-02-04.wav
fear,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_04/03-02-06-01-01-01-04.wav
fear,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_04/03-02-06-01-01-02-04.wav
fear,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_04/03-02-06-01-02-01-04.wav
fear,c:\Users\xlmq4\Documents\GitHub\emotion-detector\ravdess-emotional-speech-audio\audio_song_actors_01-24\Actor_04/03-02-06-01-02-02-04.wav
